bbi,bowl_ave,bowl_sr,ct,econ,fives,fours,inns,mat,mdns,overs,player,runs,st,wkts
2/20,29.00,18.0,1,9.66,0,0,5,5,1,12.0,VR Aaron,116,0,4
1/10,21.00,12.0,1,10.50,0,0,2,3,0,2.0,Abhishek Sharma,21,0,1
-,-,-,1,-,-,-,-,8,-,-,AD Nath,-,0,-
-,-,-,7,-,-,-,-,13,-,-,MA Agarwal,-,0,-
3/30,15.10,11.0,0,8.23,0,0,9,9,0,34.5,KK Ahmed,287,0,19
2/18,28.16,25.0,1,6.76,0,0,9,11,0,25.0,MM Ali,169,0,6
3/15,26.45,23.4,3,6.76,0,0,11,11,2,43.0,JC Archer,291,0,11
2/43,36.33,20.0,0,10.90,0,0,3,3,0,10.0,Arshdeep Singh,109,0,3
2/25,51.00,40.8,3,7.50,0,0,10,10,0,34.0,M Ashwin,255,0,5
3/23,26.66,22.0,4,7.27,0,0,14,14,0,55.0,R Ashwin,400,0,15
-,-,-,1,10.00,0,0,1,1,0,3.0,Avesh Khan,30,0,0
-,-,-,9,-,-,-,-,10,-,-,JM Bairstow,-,2,-
-,-,-,0,9.16,0,0,3,3,0,12.0,Basil Thampi,110,0,0
2/22,33.00,22.8,0,8.68,0,0,5,5,0,19.0,JP Behrendorff,165,0,5
-,-,-,0,-,-,-,-,1,-,-,RK Bhui,-,0,-
-,-,-,1,-,-,-,-,1,-,-,SW Billings,-,0,-
1/19,44.00,42.0,0,6.28,0,0,5,8,0,7.0,STR Binny,44,0,1
2/27,32.60,22.8,2,8.57,0,0,5,5,0,19.0,TA Boult,163,0,5
-,-,-,0,9.66,0,0,2,2,0,3.0,CR Brathwaite,29,0,0
3/33,30.00,22.4,5,8.01,0,0,12,12,0,41.1,DJ Bravo,330,0,11
3/20,21.52,19.4,2,6.63,0,0,16,16,1,61.4,JJ Bumrah,409,0,19
-,-,-,8,-,-,-,-,8,-,-,JC Buttler,-,0,-
-,-,-,0,17.00,0,0,1,1,0,2.0,KC Cariappa,34,0,0
4/38,21.44,16.4,3,7.82,0,1,14,14,1,49.2,YS Chahal,386,0,18
3/20,21.90,17.5,2,7.47,0,0,17,17,2,64.3,DL Chahar,482,0,22
3/19,23.69,21.6,3,6.55,0,0,13,13,0,47.0,RD Chahar,308,0,13
3/20,39.90,26.7,5,8.96,0,0,13,13,0,44.3,PP Chawla,399,0,10
-,-,-,0,-,-,-,-,1,-,-,P Chopra,-,0,-
4/11,32.30,19.8,2,9.78,0,1,9,9,0,33.0,SM Curran,323,0,10
1/27,27.00,12.0,0,13.50,0,0,1,3,0,2.0,BCJ Cutting,27,0,1
-,-,-,1,11.00,0,0,3,4,0,5.0,C de Grandhomme,55,0,0
-,-,-,17,-,-,-,-,16,-,-,Q de Kock,-,2,-
-,-,-,0,-,-,-,-,1,-,-,JL Denly,-,0,-
-,-,-,6,-,-,-,-,13,-,-,AB de Villiers,-,0,-
-,-,-,5,-,-,-,-,16,-,-,S Dhawan,-,0,-
-,-,-,11,-,-,-,-,15,-,-,MS Dhoni,-,5,-
-,-,-,1,4.80,0,0,2,4,0,1.4,S Dube,8,0,0
-,-,-,12,-,-,-,-,12,-,-,F du Plessis,-,0,-
1/38,91.50,51.0,0,10.76,0,0,5,5,0,17.0,LH Ferguson,183,0,2
-,-,-,0,-,-,-,-,13,-,-,CH Gayle,-,0,-
3/12,17.35,14.4,5,7.22,0,0,14,14,1,48.0,S Gopal,347,0,20
1/32,166.00,120.0,0,8.30,0,0,7,7,0,20.0,K Gowtham,166,0,1
-,-,-,1,-,-,-,-,3,-,-,MJ Guptill,-,0,-
-,-,-,1,-,-,-,-,3,-,-,Gurkeerat Singh,-,0,-
2/25,34.00,23.1,0,8.81,0,0,8,8,0,27.0,HF Gurney,238,0,7
3/20,19.50,16.5,4,7.09,0,0,11,11,1,44.0,Harbhajan Singh,312,0,16
-,-,-,0,9.60,0,0,2,2,0,5.0,Harpreet Brar,48,0,0
-,-,-,3,-,-,-,-,5,-,-,SO Hetmyer,-,0,-
1/13,21.00,12.0,10,10.50,0,0,2,11,0,2.0,DJ Hooda,21,0,1
4/12,16.57,14.8,6,6.69,0,2,17,17,1,64.2,Imran Tahir,431,0,26
-,-,-,1,-,-,-,-,12,-,-,CA Ingram,-,0,-
-,-,-,2,-,-,-,-,7,-,-,Ishan Kishan,-,0,-
-,-,-,8,-,-,-,-,16,-,-,SS Iyer,-,0,-
3/9,22.86,21.6,9,6.35,0,0,16,16,1,54.0,RA Jadeja,343,0,15
-,-,-,4,-,-,-,-,14,-,-,KM Jadhav,-,0,-
6/12,14.50,8.6,1,10.03,1,0,3,3,1,8.4,AS Joseph,87,0,6
-,-,-,7,-,-,-,-,14,-,-,KD Karthik,-,0,-
2/34,40.33,27.0,1,8.96,0,0,7,7,0,27.0,S Kaul,242,0,6
-,-,-,0,18.00,0,0,1,8,0,0.2,SN Khan,6,0,0
1/29,46.00,30.0,0,9.20,0,0,2,2,0,5.0,K Khejroliya,46,0,1
-,-,-,0,-,-,-,-,3,-,-,H Klaasen,-,0,-
-,-,-,5,-,-,-,-,14,-,-,V Kohli,-,0,-
2/37,35.50,24.0,0,8.87,0,0,2,2,0,8.0,SC Kuggeleijn,71,0,2
2/41,71.50,49.5,3,8.66,0,0,9,9,0,33.0,Kuldeep Yadav,286,0,4
1/14,55.83,35.0,5,9.57,0,0,10,10,1,35.0,DS Kulkarni,335,0,6
2/24,35.46,27.2,4,7.81,0,0,15,15,1,59.0,B Kumar,461,0,13
-,-,-,0,-,-,-,-,1,-,-,SD Lad,-,0,-
3/40,26.25,17.2,2,9.13,0,0,6,6,0,23.0,S Lamichhane,210,0,8
-,-,-,3,-,-,-,-,3,-,-,E Lewis,-,0,-
-,-,-,4,13.00,0,0,1,4,0,1.0,LS Livingstone,13,0,0
-,-,-,1,-,-,-,-,2,-,-,MK Lomror,-,0,-
-,-,-,1,-,-,-,-,13,-,-,CA Lynn,-,0,-
3/40,47.33,36.0,0,7.88,0,0,5,5,1,18.0,MJ McClenaghan,142,0,3
4/31,27.37,16.8,1,9.76,0,2,12,12,0,44.5,SL Malinga,438,0,16
-,-,-,4,13.00,0,0,2,13,0,2.0,Mandeep Singh,26,0,0
1/23,59.00,36.0,0,9.83,0,0,3,3,0,6.0,M Markande,59,0,1
-,-,-,1,13.50,0,0,1,1,0,2.0,S Midhun,27,0,0
-,-,-,7,-,-,-,-,10,-,-,DA Miller,-,0,-
3/17,24.54,21.8,1,6.75,0,0,11,11,0,40.0,A Mishra,270,0,11
4/11,24.25,21.8,6,6.65,0,1,8,8,0,29.1,Mohammad Nabi,194,0,8
3/21,24.68,17.0,5,8.68,0,0,14,14,0,54.0,Mohammed Shami,469,0,19
2/38,38.42,24.1,2,9.55,0,0,9,9,1,28.1,Mohammed Siraj,269,0,7
3/22,23.53,15.2,4,9.27,0,0,9,9,0,33.0,CH Morris,306,0,13
2/31,63.66,38.0,1,10.05,0,0,5,5,0,19.0,Mujeeb Ur Rahman,191,0,3
-,-,-,0,-,-,-,-,4,-,-,C Munro,-,0,-
1/24,45.00,27.0,0,10.00,0,0,3,3,0,9.0,S Nadeem,90,0,2
-,-,-,0,-,-,-,-,1,-,-,NS Naik,-,0,-
-,-,-,0,-,-,-,-,1,-,-,KK Nair,-,0,-
2/19,34.70,26.6,0,7.82,0,0,12,12,1,44.2,SP Narine,347,0,10
2/21,34.00,22.3,3,9.13,0,0,4,7,0,11.1,P Negi,102,0,3
