bat_ave,bat_mat,bat_runs,bat_sr,player
-,1,-,-,S Ladda
-,8,0,-,VR Aaron
13.00,5,13,162.50,KJ Abbott
6.66,4,20,74.07,AD Nath
9.00,3,27,108.00,MA Agarwal
26.16,6,157,131.93,HM Amla
-,3,3,100.00,Ankit Sharma
-,2,-,-,Anureet Singh
-,9,-,-,S Aravind
23.50,4,47,162.06,A Ashish Reddy
0.00,10,0,0.00,M Ashwin
20.50,14,41,107.89,R Ashwin
21.00,6,84,85.71,GJ Bailey
7.00,3,14,107.69,F Behardien
34.00,10,34,170.00,R Bhatia
22.00,5,88,137.50,SW Billings
15.75,14,63,161.53,STR Binny
25.50,7,51,204.00,Bipul Sharma
-,2,-,-,SM Boland
-,1,-,-,TA Boult
13.83,8,83,218.42,CR Brathwaite
12.37,15,99,120.73,DJ Bravo
8.00,14,8,72.72,JJ Bumrah
23.18,14,255,138.58,JC Buttler
13.00,5,13,118.18,KC Cariappa
-,13,-,-,YS Chahal
-,2,-,-,DL Chahar
0.00,1,0,0.00,UBT Chand
9.00,12,27,103.84,PP Chawla
-,4,9,64.28,NM Coulter-Nile
32.50,4,65,191.17,BCJ Cutting
37.08,13,445,136.08,Q de Kock
52.84,16,687,168.79,AB de Villiers
-,2,14,233.33,R Dhawan
38.53,17,501,116.78,S Dhawan
40.57,14,284,135.23,MS Dhoni
-,9,-,-,AB Dinda
38.20,10,191,122.43,JP Duminy
34.33,6,206,127.16,F du Plessis
12.00,4,24,171.42,ER Dwivedi
25.66,7,77,130.50,JP Faulkner
39.30,13,393,131.43,AJ Finch
38.53,15,501,121.89,G Gambhir
22.70,10,227,151.33,CH Gayle
2.00,1,2,12.50,S Gopal
19.00,3,57,103.63,MJ Guptill
22.60,7,113,131.39,Gurkeerat Singh
6.00,2,6,50.00,PSP Handscomb
30.66,14,92,109.52,Harbhajan Singh
-,2,-,-,JW Hastings
27.00,3,54,135.00,TM Head
15.16,17,182,115.18,MC Henriques
-,5,0,-,GB Hogg
5.50,4,22,115.78,JO Holder
10.28,17,144,119.00,DJ Hooda
5.00,4,5,71.42,Imran Tahir
-,8,37,137.03,Iqbal Abdulla
8.40,5,42,102.43,Ishan Kishan
5.00,6,30,69.76,SS Iyer
21.22,15,191,107.90,RA Jadeja
-,4,42,131.25,KM Jadhav
-,6,1,50.00,SB Jakati
2.50,3,5,35.71,MG Johnson
3.00,9,3,75.00,CJ Jordan
25.76,16,335,125.93,KD Karthik
0.00,7,0,0.00,S Kaushik
33.00,5,66,212.90,SN Khan
3.00,12,6,46.15,Z Khan
21.16,6,127,127.00,UT Khawaja
81.08,16,973,152.03,V Kohli
-,3,-,-,Kuldeep Yadav
13.50,14,27,168.75,DS Kulkarni
7.16,17,43,159.25,B Kumar
6.00,16,24,92.30,P Kumar
25.00,2,25,113.63,CA Lynn
11.33,14,34,147.82,MJ McClenaghan
22.12,16,354,135.11,BB McCullum
-,1,-,-,Mandeep Singh
7.00,3,7,63.63,MR Marsh
31.80,6,159,118.65,SE Marsh
19.88,11,179,144.35,GJ Maxwell
16.10,14,161,122.90,DA Miller
-,1,-,-,AF Milne
2.00,14,4,28.57,A Mishra
-,8,2,50.00,Mohammed Shami
24.60,7,123,117.14,EJG Morgan
16.00,2,16,177.77,JA Morkel
-,10,1,100.00,M Morkel
65.00,12,195,178.89,CH Morris
10.00,4,30,100.00,C Munro
-,16,-,-,Mustafizur Rahman
-,4,1,20.00,S Nadeem
11.50,2,23,74.19,NS Naik
35.70,14,357,120.20,KK Nair
7.00,11,7,53.84,SP Narine
28.50,8,57,96.61,P Negi
-,8,1,100.00,A Nehra
13.60,17,136,98.55,NV Ojha
31.00,12,248,135.51,MK Pandey
6.28,11,44,69.84,HH Pandya
39.50,12,237,191.12,KH Pandya
24.75,10,198,130.26,RR Pant
10.00,4,10,111.11,Parvez Rasool
15.85,14,111,144.15,AR Patel
-,5,0,-,HV Patel
17.70,10,177,116.44,PA Patel
3.66,4,11,84.61,IK Pathan
72.20,15,361,145.56,YK Pathan
21.42,12,150,161.29,NLTC Perera
36.50,4,73,119.67,KP Pietersen
25.87,13,207,143.75,KA Pollard
43.63,14,480,126.64,AM Rahane
44.11,14,397,146.49,KL Rahul
28.50,15,399,127.88,SK Raina
-,4,-,-,AS Rajpoot
34.66,4,104,138.66,N Rana
30.36,13,334,120.14,AT Rayudu
-,4,1,100.00,KW Richardson
26.85,12,188,164.91,AD Russell
29.75,11,119,150.63,Sachin Baby
24.54,12,270,127.35,WP Saha
19.00,5,19,146.15,P Sahu
26.45,14,291,112.35,SV Samson
-,14,8,88.88,Sandeep Sharma
-,2,-,-,PJ Sangwan
8.00,4,24,100.00,R Sathish
-,4,-,-,T Shamsi
22.80,10,114,107.54,Shakib Al Hasan
-,4,0,-,I Sharma
-,5,36,120.00,KV Sharma
8.00,14,32,123.07,MM Sharma
44.45,14,489,132.88,RG Sharma
8.00,1,8,100.00,LMP Simmons
-,4,-,-,RP Singh
29.45,12,324,146.60,DR Smith
45.00,8,270,153.40,SPD Smith
10.00,11,30,157.89,TG Southee
-,14,4,100.00,BB Sran
1.00,1,1,50.00,DW Steyn
36.50,7,146,135.18,MP Stoinis
-,1,-,-,J Suchith
0.00,1,0,0.00,Swapnil Singh
-,7,7,36.84,PV Tambe
4.00,3,8,53.33,AP Tare
24.28,10,170,120.56,SS Tiwary
-,1,-,-,JD Unadkat
26.26,15,394,136.33,RV Uthappa
34.84,14,453,124.45,M Vijay
13.00,3,13,108.33,R Vinay Kumar
23.00,7,161,122.90,M Vohra
60.57,17,848,151.42,DA Warner
13.76,16,179,133.58,SR Watson
-,1,5,125.00,D Wiese
20.66,6,124,101.63,KS Williamson
3.00,5,6,60.00,J Yadav
26.00,15,182,127.27,SA Yadav
9.00,9,9,180.00,UT Yadav
26.22,10,236,131.84,Yuvraj Singh
0.00,5,0,0.00,A Zampa
