bat_ave,bat_inns,bat_mat,bat_runs,bat_sr,player
63.00,3,3,63,190.90,Abhishek Sharma
9.00,1,1,9,69.23,AD Nath
12.00,11,11,120,127.65,MA Agarwal
-,-,1,-,-,KK Ahmed
19.25,4,5,77,167.39,MM Ali
5.66,3,3,17,77.27,CJ Anderson
-,-,1,-,-,Ankit Sharma
-,1,3,3,75.00,Anureet Singh
3.00,8,10,15,71.42,JC Archer
1.00,1,2,1,50.00,M Ashwin
12.75,9,14,102,143.66,R Ashwin
-,-,2,-,-,KM Asif
-,-,6,-,-,Avesh Khan
3.00,2,4,3,50.00,Basil Thampi
0.00,1,1,0,0.00,RK Bhui
13.50,8,10,108,138.46,SW Billings
8.80,5,7,44,112.82,STR Binny
0.00,1,14,0,0.00,TA Boult
25.00,4,4,75,156.25,CR Brathwaite
35.25,10,16,141,154.94,DJ Bravo
10.00,3,14,10,90.90,JJ Bumrah
54.80,13,13,548,155.24,JC Buttler
-,1,14,0,0.00,YS Chahal
16.66,4,12,50,172.41,DL Chahar
6.75,7,15,27,79.41,PP Chawla
8.00,1,1,8,133.33,P Chopra
13.00,3,4,26,78.78,DT Christian
7.66,4,5,23,82.14,TK Curran
24.00,6,9,96,165.51,BCJ Cutting
-,-,1,-,-,CJ Dala
-,1,1,4,80.00,A Dananjaya
26.20,8,9,131,155.95,C de Grandhomme
25.12,8,8,201,124.07,Q de Kock
53.33,11,12,480,174.54,AB de Villiers
38.23,16,16,497,136.91,S Dhawan
75.83,15,16,455,150.66,MS Dhoni
36.00,4,6,36,90.00,JP Duminy
32.40,6,6,162,125.58,F du Plessis
16.75,9,10,134,134.00,AJ Finch
17.00,5,6,85,96.59,G Gambhir
40.88,11,11,368,146.03,CH Gayle
16.66,4,11,50,111.11,S Gopal
17.33,3,6,52,130.00,SP Goswami
14.00,13,15,126,196.87,K Gowtham
24.66,6,6,148,125.42,AD Hales
9.66,3,13,29,80.55,Harbhajan Singh
21.75,8,9,87,107.40,DJ Hooda
-,1,6,2,100.00,Imran Tahir
22.91,12,14,275,149.45,Ishan Kishan
37.36,14,14,411,132.58,SS Iyer
17.80,10,16,89,120.27,RA Jadeja
-,1,1,24,109.09,KM Jadhav
-,2,6,16,145.45,MG Johnson
-,-,1,-,-,CJ Jordan
49.80,16,16,498,147.77,KD Karthik
1.00,4,17,3,21.42,S Kaul
10.20,6,7,51,124.39,SN Khan
-,-,3,-,-,K Khejroliya
19.00,4,4,57,121.27,H Klaasen
48.18,14,14,530,139.10,V Kohli
12.00,3,16,12,50.00,Kuldeep Yadav
6.00,2,8,6,85.71,DS Kulkarni
6.50,4,12,13,81.25,B Kumar
-,-,3,-,-,S Lamichhane
1.00,2,7,1,25.00,B Laughlin
29.38,13,13,382,138.40,E Lewis
20.00,2,2,20,95.23,MK Lomror
32.73,16,16,491,130.23,CA Lynn
5.50,5,11,11,110.00,MJ McClenaghan
21.16,6,6,127,144.31,BB McCullum
25.20,13,14,252,135.48,Mandeep Singh
10.50,6,14,21,87.50,M Markande
14.08,12,12,169,140.83,GJ Maxwell
37.00,3,3,74,115.62,DA Miller
-,1,10,1,50.00,A Mishra
9.00,2,2,18,150.00,Mohammad Nabi
7.00,1,4,7,116.66,Mohammed Shami
12.50,4,11,25,113.63,Mohammed Siraj
46.00,4,4,46,176.92,CH Morris
10.00,2,11,10,142.85,Mujeeb Ur Rahman
12.60,5,5,63,153.65,C Munro
1.00,2,7,1,33.33,Mustafizur Rahman
-,1,6,6,75.00,S Nadeem
