bowl_inns,bowl_mat,bowl_sr,catches,econ,player,wkts
-,3,-,1,-,Abhishek Sharma,-
-,1,-,1,-,AD Nath,-
-,11,-,2,-,MA Agarwal,-
1,1,-,0,12.66,KK Ahmed,0
5,5,26.3,2,7.36,MM Ali,3
3,3,17.3,0,13.26,CJ Anderson,3
1,1,-,0,11.00,Ankit Sharma,0
3,3,24.0,1,10.50,Anureet Singh,1
10,10,15.5,1,8.36,JC Archer,15
2,2,14.0,0,7.57,M Ashwin,3
14,14,30.4,5,8.09,R Ashwin,10
2,2,12.0,0,12.50,KM Asif,3
6,6,28.5,3,10.73,Avesh Khan,4
4,4,12.2,2,11.21,Basil Thampi,5
-,1,-,0,-,RK Bhui,-
-,10,-,5,-,SW Billings,-
1,7,-,1,16.50,STR Binny,0
14,14,17.5,9,8.84,TA Boult,18
4,4,12.2,2,9.24,CR Brathwaite,5
16,16,22.9,9,9.96,DJ Bravo,14
14,14,19.0,4,6.88,JJ Bumrah,17
-,13,-,9,-,JC Buttler,-
14,14,25.0,2,7.26,YS Chahal,12
12,12,22.9,1,7.28,DL Chahar,10
15,15,21.0,4,8.40,PP Chawla,14
-,1,-,0,-,P Chopra,-
4,4,17.7,0,8.53,DT Christian,4
5,5,10.1,1,11.60,TK Curran,6
7,9,51.0,7,9.88,BCJ Cutting,2
1,1,-,0,11.33,CJ Dala,0
1,1,-,0,11.75,A Dananjaya,0
7,9,45.0,3,8.60,C de Grandhomme,2
-,8,-,7,-,Q de Kock,-
-,12,-,6,-,AB de Villiers,-
-,16,-,12,-,S Dhawan,-
-,16,-,11,-,MS Dhoni,-
2,6,-,2,12.00,JP Duminy,0
-,6,-,1,-,F du Plessis,-
-,10,-,4,-,AJ Finch,-
-,6,-,1,-,G Gambhir,-
-,11,-,2,-,CH Gayle,-
10,11,16.9,3,7.61,S Gopal,11
-,6,-,5,-,SP Goswami,-
15,15,21.8,10,7.80,K Gowtham,11
-,6,-,2,-,AD Hales,-
12,13,27.2,4,8.48,Harbhajan Singh,7
2,9,-,3,8.00,DJ Hooda,0
6,6,20.6,2,9.09,Imran Tahir,6
-,14,-,9,-,Ishan Kishan,-
-,14,-,5,-,SS Iyer,-
14,16,22.3,11,7.39,RA Jadeja,11
-,1,-,0,-,KM Jadhav,-
6,6,63.0,2,10.28,MG Johnson,2
1,1,-,0,7.75,CJ Jordan,0
-,16,-,14,-,KD Karthik,-
17,17,18.8,2,8.28,S Kaul,21
-,7,-,2,-,SN Khan,-
3,3,32.5,0,9.87,K Khejroliya,2
-,4,-,3,-,H Klaasen,-
-,14,-,8,-,V Kohli,-
16,16,18.1,6,8.14,Kuldeep Yadav,17
8,8,29.7,1,9.47,DS Kulkarni,4
12,12,30.7,2,7.66,B Kumar,9
3,3,14.4,0,6.83,S Lamichhane,5
7,7,13.8,1,10.12,B Laughlin,9
-,13,-,3,-,E Lewis,-
2,2,-,0,9.00,MK Lomror,0
-,16,-,3,-,CA Lynn,-
11,11,17.1,0,8.30,MJ McClenaghan,14
-,6,-,1,-,BB McCullum,-
-,14,-,4,-,Mandeep Singh,-
14,14,17.6,3,8.36,M Markande,15
10,12,19.2,4,8.25,GJ Maxwell,5
-,3,-,0,-,DA Miller,-
10,10,18.5,0,7.13,A Mishra,12
2,2,30.0,0,9.40,Mohammad Nabi,1
4,4,27.6,2,10.40,Mohammed Shami,3
11,11,22.3,5,8.95,Mohammed Siraj,11
4,4,28.0,2,10.21,CH Morris,3
11,11,17.7,1,6.99,Mujeeb Ur Rahman,14
-,5,-,2,-,C Munro,-
7,7,23.5,2,8.36,Mustafizur Rahman,7
6,6,30.0,1,10.73,S Nadeem,3
-,13,-,9,-,KK Nair,-
16,16,21.5,1,7.65,SP Narine,17
2,2,24.0,0,12.25,P Negi,1
7,7,14.1,1,6.00,L Ngidi,11
-,1,-,0,-,NV Ojha,-
-,15,-,9,-,MK Pandey,-
13,13,14.2,8,8.92,HH Pandya,18
13,14,20.0,9,7.07,KH Pandya,12
-,14,-,4,-,RR Pant,-
8,9,52.0,2,8.38,AR Patel,3
5,5,15.0,0,9.54,HV Patel,7
-,6,-,3,-,PA Patel,-
1,15,12.0,3,7.00,YK Pathan,1
7,7,37.5,2,9.00,LE Plunkett,4
-,9,-,4,-,KA Pollard,-
7,7,16.8,1,9.28,M Prasidh Krishna,10
-,15,-,4,-,AM Rahane,-
-,14,-,10,-,KL Rahul,-
-,15,-,9,-,SK Raina,-
8,8,14.2,2,8.52,AS Rajpoot,11
5,15,9.2,2,7.13,N Rana,4
17,17,19.4,6,6.73,Rashid Khan,21
-,16,-,2,-,AT Rayudu,-
-,5,-,4,-,JJ Roy,-
15,16,17.4,8,9.38,AD Russell,13
-,11,-,5,-,WP Saha,-
-,15,-,5,-,SV Samson,-
12,12,22.0,2,7.56,Sandeep Sharma,12
1,1,-,0,9.50,PJ Sangwan,0
3,4,21.0,4,12.71,JPR Scantlebury-Searles,2
4,13,30.0,6,11.60,V Shankar,1
17,17,24.4,3,8.00,Shakib Al Hasan,14
5,6,14.2,3,9.36,KV Sharma,4
9,9,25.4,2,10.85,MM Sharma,7
-,14,-,8,-,RG Sharma,-
-,9,-,4,-,PP Shaw,-
9,9,33.6,3,9.64,Shivam Mavi,5
-,1,-,0,-,DR Shorey,-
2,7,18.0,2,6.33,DJM Short,1
-,13,-,3,-,Shubman Gill,-
-,4,-,4,-,RK Singh,-
6,6,27.6,0,5.86,IS Sodhi,5
8,8,34.8,3,9.00,TG Southee,5
6,6,33.0,2,10.40,BB Sran,4
4,4,19.2,0,8.12,B Stanlake,5
6,7,22.0,2,10.90,MP Stoinis,3
12,13,27.7,6,8.18,BA Stokes,8
8,8,22.0,2,7.86,R Tewatia,6
13,13,17.5,4,9.23,SN Thakur,16
1,5,-,4,10.00,MK Tiwary,0
-,12,-,4,-,RA Tripathi,-
14,14,14.0,5,8.00,AJ Tye,24
15,15,27.4,6,9.65,JD Unadkat,11
-,16,-,5,-,RV Uthappa,-
-,1,-,0,-,M Vijay,-
2,2,11.5,2,16.95,R Vinay Kumar,2
-,4,-,0,-,M Vohra,-
7,7,30.0,0,9.60,Washington Sundar,4
11,15,28.0,3,8.96,SR Watson,6
3,3,30.0,2,9.50,DJ Willey,2
-,17,-,6,-,KS Williamson,-
5,5,13.7,1,10.36,CR Woakes,8
1,1,-,1,12.25,MA Wood,0
-,14,-,8,-,SA Yadav,-
14,14,15.9,2,7.86,UT Yadav,20
2,8,-,1,11.50,Yuvraj Singh,0
